date,id,temp count,temp mean,temp std,temp min,temp max,dwpt count,dwpt mean,dwpt std,dwpt min,dwpt max,rhum count,rhum mean,rhum std,rhum min,rhum max,prcp count,prcp mean,prcp std,prcp min,prcp max,snow count,snow mean,snow std,snow min,snow max,wdir count,wdir mean,wdir std,wdir min,wdir max,wspd count,wspd mean,wspd std,wspd min,wspd max,wpgt count,wpgt mean,wpgt std,wpgt min,wpgt max,pres count,pres mean,pres std,pres min,pres max,tsun count,tsun mean,tsun std,tsun min,tsun max,location,region,name
6.0,D4160,2160.0,17.20388888888889,5.047589518829202,4.8,33.9,2160.0,11.969351851851853,3.1197358509659168,2.1,21.4,2160.0,74.24537037037037,18.646686387897155,23.0,100.0,2160.0,0.0924074074074074,0.5547284976503049,0.0,9.8,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,1800.0,25.106666666666666,25.92027714151277,0.0,60.0,"(48.7425, 8.924, 478)",BW,Renningen-Ihinger Hof
7.0,EDOB0,2205.0,18.3544671201814,5.845297973013436,3.9,35.6,2205.0,10.36512471655329,3.471612130589393,-1.0,21.6,2205.0,64.17052154195011,21.75465283795449,17.0,100.0,2207.0,0.0525147258722247,0.3858228442201493,0.0,7.4,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"(50.9055, 11.2583, 305)",TH,Bad Berka
8.0,D1503,2232.0,18.70179211469534,5.233723047629037,6.3,34.8,2232.0,13.622894265232976,2.9521311770227765,-7.1,20.6,2232.0,75.32437275985663,18.376499156691352,8.0,100.0,2232.0,0.0802419354838709,0.6744018613710416,0.0,21.1,0.0,,,,,2232.0,196.9758064516129,85.53018841457299,10.0,360.0,2232.0,10.147580645161293,5.736579916802119,0.7,32.8,0.0,,,,,2232.0,1014.598745519713,5.659636213149863,996.1,1028.5,1860.0,20.89516129032258,24.58847476262048,0.0,60.0,"(53.0643, 7.9022, 6)",NI,Friesoythe-Altenoythe
7.0,10361,2232.0,20.048969534050176,5.396961877142509,8.0,36.5,2232.0,11.434632616487454,3.249412104103973,0.9,20.6,2232.0,61.23969534050179,19.38855525435333,18.0,99.0,2232.0,0.0506272401433691,0.4104305235248449,0.0,9.3,0.0,,,,,2232.0,240.88709677419357,97.4880460172679,10.0,360.0,2232.0,7.711245519713262,3.889444146349568,1.1,27.4,2232.0,18.40681003584229,9.176749811767731,2.0,55.0,2232.0,1015.5188620071684,4.445176572417826,1000.8,1028.0,2232.0,21.190860215053764,25.205232834392596,0.0,60.0,"(52.1333, 11.6, 79)",ST,Magdeburg
12.0,D6346,2232.0,2.1057795698924733,4.113752091743146,-6.9,13.5,2232.0,0.2476702508960573,3.52717489579723,-8.8,9.1,2232.0,88.23297491039426,9.977178195073972,46.0,100.0,2232.0,0.0713709677419354,0.3011114960473354,0.0,4.9,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"(48.207, 11.2035, 530)",BY,Maisach-Galgen
5.0,10815,2232.0,10.92450716845878,5.047934702355939,-1.2,24.3,2232.0,5.779256272401433,4.315564980981106,-5.3,17.2,2232.0,73.3328853046595,18.77610737284182,26.0,100.0,2232.0,0.1289874551971326,0.6087346111615248,0.0,11.4,190.0,2.210526315789474,7.79077562933956,0.0,50.0,1878.0,176.96166134185304,112.71007790797904,0.0,360.0,2232.0,11.64094982078853,5.166872774272863,0.0,36.7,2230.0,22.32089686098655,10.139782269859674,0.0,66.0,1736.0,1017.2986175115208,7.4986030084928785,998.9,1034.7,2207.0,15.785228817399185,22.766664947825166,0.0,60.0,"(48.45, 8.4167, 797)",BW,Freudenstadt
4.0,10139,2160.0,10.14689814814815,5.411955578674444,-2.4,26.5,2160.0,4.025601851851851,4.0096626123339565,-6.4,13.1,2160.0,68.94768518518518,18.920191326867297,21.0,100.0,2160.0,0.0467592592592592,0.2622782173130172,0.0,5.0,2137.0,0.0,0.0,0.0,0.0,2160.0,170.96296296296296,104.310961867147,0.0,360.0,2160.0,13.755555555555556,7.133184566705346,0.0,46.0,2160.0,23.69953703703704,11.82515041246666,0.0,78.0,2160.0,1016.2460185185188,9.168313582691209,995.0,1033.5,2159.0,18.90226956924502,25.681321929594823,0.0,60.0,"(53.5, 9.1667, 3)",NI,Bremervoerde
11.0,D1052,2160.0,6.039074074074074,4.184349750967252,-5.0,19.9,2160.0,3.977962962962963,3.930267050824909,-7.4,15.6,2160.0,87.35601851851852,10.497032416813736,45.0,100.0,2160.0,0.0306481481481481,0.2058332882761479,0.0,6.1,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"(52.2174, 12.1641, 80)",ST,Drewitz bei Burg
6.0,10122,1680.0,17.496369047619048,3.522740541663208,9.5,31.7,1680.0,12.697559523809524,2.67235421793952,5.5,19.8,1680.0,74.55178571428571,11.791253020440749,38.0,100.0,1680.0,0.0667261904761904,0.1881067614182333,0.0,1.6,0.0,,,,,1680.0,176.1017857142857,111.0444421508994,1.0,360.0,1680.0,16.462619047619047,5.819179870344698,3.7,37.0,1440.0,26.627291666666665,8.06573227519754,9.3,59.3,1680.0,1014.9604761904762,7.283579303348331,989.0,1028.7,0.0,,,,,"(53.5333, 7.8833, 7)",NI,Jever
12.0,D4555,0.0,,,,,0.0,,,,,0.0,,,,,2232.0,0.0464605734767025,0.2078815027795355,0.0,4.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"(52.663, 12.1812, 29)",ST,Schollene
