id,sunhours per day,is clear_mean,is clear_std,suited for PV,highlight
10015,5.01548849524272,0.18883870450618034,0.36679332994865727,0,False
10020,5.039991800385382,0.1782210651107592,0.3663410027599538,0,False
10022,4.698720326222712,0.16744401448395518,0.35851116978286185,0,False
10028,5.303592496031066,0.1879181258283328,0.37426267577754513,0,False
10035,4.907065468900422,0.1633996040076978,0.3526318736981781,0,False
10042,5.2793266324217365,0.23690248669309358,0.40482298009684814,1,False
10046,5.451037413007694,0.26046351778083815,0.4160827358224786,1,False
10055,5.386836814029375,0.19666584518730848,0.37877144998252305,2,False
10091,5.782533227234641,0.214371159887733,0.38587900071688663,2,False
10093,5.507512974469805,0.21646881848776522,0.3897729659166702,2,False
10097,5.744332448083085,0.24259816880818272,0.39883338334461677,1,False
10113,5.208990470000273,0.18427777291805914,0.369761281163093,0,False
10129,4.856937435553685,0.2033837691130241,0.3824140428742994,0,False
10130,5.227682787133211,0.17838486878012091,0.3683900668018793,0,False
10131,4.940859262342904,0.19678905618781742,0.380168382277466,0,False
10139,4.486525699423665,0.19316881020220666,0.3758095912206592,0,False
10142,4.869664901838885,0.19340930880346752,0.37825690951724167,0,False
10146,5.04062086692869,0.16191987264795846,0.3520661621077723,0,False
10147,5.0446375522018565,0.14745663355329167,0.34128071670722804,0,False
10150,4.857879290812666,0.20040005764373925,0.38234342239108104,0,False
10152,5.372961894112037,0.2124227102251969,0.39068025271159756,1,False
10156,4.9118442078536715,0.19368625201802928,0.3772063074589045,0,False
10161,5.352085769398136,0.25037575282025665,0.4123284320995884,1,False
10162,4.949066428576066,0.176705977740495,0.3685181609657384,0,False
10168,5.367872809819333,0.214650814887586,0.39162366166488827,1,False
10170,5.615758115490273,0.23152171434424454,0.3990785191461245,1,False
10177,6.242207605964694,0.11206510658484393,0.29020325139189124,0,False
10180,5.589380738765443,0.18911312752051176,0.37225691423426793,0,False
10184,5.172340622582772,0.20897113090387276,0.39030957297306096,1,False
10193,5.303428288880487,0.21943327799484522,0.39365511919443424,1,False
10200,4.725569281288624,0.1845718139310937,0.37035741213882134,0,False
10210,4.756891083806212,0.20003043388732944,0.3838493805378976,0,False
10224,5.1973280271430236,0.14906016001433492,0.3447695547312081,0,False
10235,4.802543467313026,0.1957970147246982,0.38116908303259595,0,False
10249,5.027842478546163,0.1949396949417556,0.38214187547834727,0,False
10253,5.284309876467523,0.2205788632021608,0.3942323231165641,1,False
10261,5.503362018393641,0.20325403954764243,0.3892712317591027,2,False
10264,5.111499398995699,0.2016588306819207,0.3848086848035858,2,False
