id,date,hour_std,tsun_std,is clear_std,code available_std,hour_mean,tsun_mean,is clear_mean,code available_mean
10015,1,6.92372123520248,11.423503762534082,0.21908837701045805,0.46124173895340786,11.5,3.039881831610044,0.05053191489361702,0.6932624113475178
10015,2,6.923883790793001,17.818634996354053,0.3846080316963888,0.11004842540791912,11.5,7.563394178589048,0.1803921568627451,0.9877450980392157
10015,3,6.923737742715049,21.30009002226892,0.4065289026376984,0.06679979766774775,11.5,11.133960573476703,0.20878136200716846,0.9955197132616488
10015,4,6.923789467019017,25.91744666799197,0.4812286139125894,0.03725053402313175,11.5,18.575532900834105,0.3638888888888889,0.9986111111111111
10015,5,6.923737742715049,26.727699741516226,0.4745837097219544,0.0700444519500027,11.5,22.970799640610963,0.34229390681003585,0.9950716845878136
10015,6,6.923789467019017,25.84476943682653,0.4336463598635989,0.048067932504045695,11.5,20.400462962962962,0.25092592592592594,0.9976851851851852
10015,7,6.923737742715049,25.00196371027147,0.41995695812379985,0.06338611084927649,11.5,19.38037634408602,0.22849462365591397,0.9959677419354839
10015,8,6.923737742715049,25.144536511300615,0.4356662811498961,0.0,11.5,19.33961417676088,0.25448028673835127,1.0
10015,9,6.923789467019017,21.754908681196056,0.3677185355869827,0.0,11.5,13.18987929433612,0.16111111111111112,1.0
10015,10,6.923737742715049,17.524775145080525,0.2876021724241914,0.0,11.5,8.220627802690583,0.09094982078853046,1.0
10015,11,6.923789467019017,13.734629296261888,0.2879652389879494,0.0,11.5,4.547607988852763,0.0912037037037037,1.0
10015,12,6.923737742715049,9.115333360280939,0.20292677826838038,0.0,11.5,2.102517162471396,0.043010752688172046,1.0
10020,1,6.92372123520248,12.446617493498119,0.22796156088926253,0.4513115607083266,11.5,3.699570815450644,0.0549645390070922,0.7154255319148937
10020,2,6.923883790793001,17.81887663599161,0.3522860119684293,0.07959299625496018,11.5,7.59882005899705,0.1450980392156863,0.9936274509803922
10020,3,6.923737742715049,21.097584932405464,0.3930671884124875,0.036645342180311215,11.5,10.818100358422939,0.19086021505376344,0.9986559139784946
10020,4,6.923789467019017,25.939246826562954,0.4705221313769268,0.021516574145596757,11.5,19.267592592592592,0.33055555555555555,0.999537037037037
10020,5,6.923737742715049,26.760433829326107,0.4673981928786142,0.17672428917908636,11.5,23.4668458781362,0.32213261648745517,0.967741935483871
10020,6,6.923789467019017,25.865337676829203,0.4161450082212892,0.07119694413937525,11.5,20.942592592592593,0.22268518518518518,0.9949074074074075
10020,7,6.923737742715049,24.18621199334354,0.39057912959309904,0.06338611084927648,11.5,18.295250896057347,0.18772401433691757,0.9959677419354839
10020,8,6.923737742715049,24.84231492025472,0.41371973977148957,0.0,11.5,19.509188704616765,0.21908602150537634,1.0
10020,9,6.923789467019017,21.103756394484954,0.36339532818689224,0.0,11.5,12.665740740740741,0.15648148148148147,1.0
10020,10,6.923737742715049,18.801610203104683,0.340686277441788,0.0,11.5,8.909498207885305,0.1339605734767025,1.0
10020,11,6.923789467019017,12.826145019233754,0.3114555694356019,0.0,11.5,3.8925925925925924,0.1087962962962963,1.0
10020,12,6.923737742715049,9.307076340522086,0.2488758949435649,0.0,11.5,2.1339605734767026,0.06630824372759857,1.0
10022,1,6.92372123520248,11.500604481933003,0.24686193934415848,0.4517338465300473,11.5,3.117310443490701,0.06515957446808511,0.7145390070921985
10022,2,6.923883790793001,16.5110914368926,0.34727547537406966,0.11004842540791922,11.5,6.583333333333333,0.14019607843137255,0.9877450980392157
10022,3,6.923737742715049,19.550283408525125,0.3839896142529941,0.0,11.5,9.416666666666666,0.1796594982078853,1.0
10022,4,6.923789467019017,25.673789783557616,0.4809656398868366,0.03725053402313171,11.5,18.778240740740742,0.362962962962963,0.9986111111111111
10022,5,6.923737742715049,25.538111670891276,0.42534201066382654,0.37593729241095997,11.5,21.375448028673834,0.23700716845878136,0.8297491039426523
10022,6,6.923789467019017,25.460168178077957,0.4004395090243927,0.3972872173924808,11.5,20.38888888888889,0.20046296296296295,0.8037037037037037
10022,7,6.923737742715049,23.691562564342323,0.3632795853725571,0.3421253429090924,11.5,17.40833706857911,0.15636200716845877,0.8646953405017921
10022,8,6.923737742715049,23.58197139406302,0.41995695812379946,0.0,11.5,17.693859255939042,0.22849462365591397,1.0
10022,9,6.923789467019017,20.34214317968436,0.34735541164323114,0.0,11.5,11.943981481481481,0.14027777777777778,1.0
10022,10,6.923737742715049,17.62896483305439,0.3444987690058948,0.0,11.5,8.059587813620071,0.13754480286738352,1.0
10022,11,6.923789467019017,13.465585139699268,0.2925137679869826,0.0,11.5,4.231350330500472,0.09444444444444444,1.0
10022,12,6.923737742715049,9.035122558508231,0.24965535671560002,0.0,11.5,1.9646057347670252,0.0667562724014337,1.0
10028,1,6.92372123520248,11.648715354453323,0.2313918060710956,0.4513115607083266,11.5,3.315142576204523,0.05673758865248227,0.7154255319148937
10028,2,6.923883790793001,19.432790165728925,0.3732073449394903,0.10785174796178658,11.5,8.97534516765286,0.16715686274509803,0.9882352941176471
10028,3,6.923737742715049,21.714864236232792,0.40556225737510226,0.04230490349065864,11.5,11.815860215053764,0.20743727598566308,0.9982078853046595
10028,4,6.923789467019017,25.968475065239616,0.4720025402725882,0.03042198313663647,11.5,19.840055632823365,0.3347222222222222,0.9990740740740741
10028,5,6.923737742715049,26.738443652094837,0.4646056907106359,0.05977443842823097,11.5,23.61021505376344,0.3149641577060932,0.996415770609319
10028,6,6.923789467019017,26.127676531458537,0.4279126661179407,0.06075932357111946,11.5,21.81388888888889,0.2412037037037037,0.9962962962962963
